"","start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"36","2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_B","pm1_0_atm",1,75,0.9887,0.75,0.52,7.45e-73
"37","2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_B","pm10_0_atm",1,94,0.9992,0.93,-0.24,1.06e-143
"38","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_5b_a9_SD_B","pm10_0_atm",1,179,0.9929,0.8,-0.51,2.49e-192
"39","2018-05-21 16:24","2018-05-21 19:45","68_c6_3a_8e_5b_a9_SD_B","pm2_5_atm",1,94,0.9993,0.91,-0.28,7.61e-146
"40","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_5b_a9_SD_B","pm2_5_atm",1,179,0.9938,0.75,-0.53,3.84e-197
"41","2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,273,0.9982,0.87,-0.97,0
"42","2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,164,0.9971,0.93,-1.4,5.93e-207
"43","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,149,0.9951,0.82,-0.59,1.63e-171
"44","2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_A","pm10_0_atm",1,111,0.9876,0.84,0.051,7.89e-106
"45","2018-05-22 11:16","2018-05-22 17:45","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,273,0.9984,0.84,-1.1,0
"46","2018-05-28 13:01","2018-05-28 18:00","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,164,0.9965,0.87,-1.7,4.48e-201
"47","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,149,0.9908,0.75,-0.58,1.78e-151
"48","2018-05-18 14:00","2018-05-18 19:45","68_c6_3a_8e_a3_ca_SD_A","pm2_5_atm",1,111,0.9873,0.76,0.5,4.1e-105
"49","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_B","pm10_0_atm",1,149,0.9921,0.8,-0.47,1.96e-156
"50","2018-05-24 10:48","2018-05-24 16:00","68_c6_3a_8e_a3_ca_SD_B","pm2_5_atm",1,149,0.9942,0.76,-0.54,3.33e-166
"51","2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm1_0_atm",1,141,1,1,4.8e-14,0
"52","2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm1_0_atm",1,241,1,1,-5.9e-14,0
"53","2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm10_0_atm",1,168,1,1,-4.4e-14,0
"54","2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm10_0_atm",1,241,1,1,8.4e-14,0
"55","2018-05-21 16:24","2018-05-21 19:45","DustTrak","pm2_5_atm",1,168,1,1,-4.4e-14,0
"56","2018-05-24 10:48","2018-05-24 16:00","DustTrak","pm2_5_atm",1,241,1,1,8.4e-14,0
