"start_time","end_time","sensor","pollutant","n_relative","n_observation","r_squared","slope","intercept","p_value"
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_ab_SD_B","pm10_0_atm",1,262,0.9958,0.85,-1.9,6.70000000000009e-311
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_ff_ab_SD_B","pm10_0_atm",1,160,0.9946,0.85,-2,2.3e-181
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_ac_SD_A","pm10_0_atm",1,111,0.9958,0.89,-1.3,1.2e-131
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_ac_SD_A","pm10_0_atm",1,262,0.9893,0.74,-2,5.38e-258
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_ff_ac_SD_A","pm10_0_atm",1,190,0.9828,0.72,-1.9,7.49e-168
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_ac_SD_A","pm2_5_atm",1,111,0.9969,0.86,-1.4,2.03e-138
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_ac_SD_B","pm10_0_atm",1,111,0.9917,0.89,-1.5,3.4e-115
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_ac_SD_B","pm10_0_atm",1,262,0.9856,0.72,-2.2,2.26e-241
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_ac_SD_B","pm2_5_atm",1,111,0.9927,0.86,-1.7,2.25e-118
"2018-06-03 23:45","2018-06-04 06:30","2c_3a_e8_34_ff_b2_SD_A","pm10_0_atm",1,265,0.9929,0.87,-1.5,2.15e-284
"2018-06-03 23:45","2018-06-04 06:30","2c_3a_e8_34_ff_b2_SD_A","pm2_5_atm",1,265,0.9955,0.74,-1.5,3.00999999999998e-310
"2018-06-03 23:45","2018-06-04 06:30","2c_3a_e8_34_ff_b2_SD_B","pm10_0_atm",1,265,0.993,0.83,-1.6,1.33e-285
"2018-06-03 23:45","2018-06-04 06:30","2c_3a_e8_34_ff_b2_SD_B","pm2_5_atm",1,265,0.9941,0.76,-1.7,1.07e-294
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_A","pm1_0_atm",1,102,0.9956,0.77,-1.2,1.87e-119
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_ff_c7_SD_A","pm10_0_atm",1,168,0.9954,0.8,-2.4,1.05e-195
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_c7_SD_A","pm10_0_atm",1,262,0.994,0.83,-2.2,1.75e-290
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_A","pm10_0_atm",1,102,0.9929,1,-1.5,3.25e-109
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_A","pm2_5_atm",1,102,0.9943,0.95,-1.5,6.36e-114
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_B","pm1_0_atm",1,102,0.9974,0.76,-1.3,1.13e-130
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_B","pm10_0_atm",1,102,0.9968,1,-1.7,9.63e-127
"2018-06-04 19:45","2018-06-05 00:15","2c_3a_e8_34_ff_c7_SD_B","pm10_0_atm",1,168,0.9948,0.74,-2.7,2.39e-191
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_c7_SD_B","pm10_0_atm",1,262,0.9923,0.78,-2.1,8.67e-277
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c7_SD_B","pm2_5_atm",1,102,0.9967,0.96,-1.7,5.76e-126
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_c7_SD_B","pm2_5_atm",1,262,0.9925,0.7,-2,5.65e-278
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_c8_SD_A","pm10_0_atm",1,261,0.994,0.74,-1.9,4.84e-290
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c8_SD_B","pm1_0_atm",1,111,0.9954,0.73,-0.93,3.24e-129
"2018-06-05 00:30","2018-06-05 06:30","2c_3a_e8_34_ff_c8_SD_B","pm10_0_atm",1,261,0.9929,0.71,-1.9,3.15e-280
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c8_SD_B","pm10_0_atm",1,111,0.9915,0.93,-1.2,1.02e-114
"2018-06-04 17:00","2018-06-04 19:33","2c_3a_e8_34_ff_c8_SD_B","pm2_5_atm",1,111,0.9925,0.91,-1.2,1.02e-117
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_cb_SD_A","pm10_0_atm",1,277,0.9917,0.88,-0.91,5.85e-288
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_cb_SD_A","pm10_0_atm",1,279,0.9909,0.8,-1.1,1.01e-284
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_cb_SD_A","pm2_5_atm",1,277,0.993,0.82,-0.99,2.94e-298
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_cb_SD_A","pm2_5_atm",1,279,0.9897,0.72,-1.3,2.15e-277
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_cb_SD_B","pm10_0_atm",1,277,0.9974,0.91,-0.88,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_cb_SD_B","pm10_0_atm",1,279,0.9902,0.81,-1.1,1.87e-280
"2018-06-02 23:05","2018-06-03 06:05","2c_3a_e8_34_ff_cb_SD_B","pm2_5_atm",1,277,0.9974,0.86,-1.1,0
"2018-06-02 11:00","2018-06-02 17:30","2c_3a_e8_34_ff_cb_SD_B","pm2_5_atm",1,279,0.9929,0.74,-1.3,1.53e-299
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm1_0_atm",1,99,0.9909,0.74,0.7,9.34e-101
"2018-05-31 17:45","2018-06-01 03:30","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,416,0.9973,0.75,-1.1,0
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,133,0.9959,0.89,-2.2,1.61e-158
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,99,0.9923,0.98,0.45,2.68e-104
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,122,0.9779,0.84,-1.5,3.35e-101
"2018-05-30 19:20","2018-05-30 23:00","60_1_94_58_2f_c1_SD_A","pm10_0_atm",1,98,0.9471,0.96,-0.089,4.57e-63
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,133,0.996,0.84,-2.2,1.18e-158
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,99,0.9935,0.95,0.39,5.78e-108
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,122,0.9812,0.79,-1.6,1.82e-105
"2018-05-30 19:20","2018-05-30 23:00","60_1_94_58_2f_c1_SD_A","pm2_5_atm",1,98,0.9395,0.91,-0.1,2.72e-60
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_B","pm1_0_atm",1,99,0.9901,0.72,0.73,4.45e-99
"2018-05-31 17:45","2018-06-01 03:30","60_1_94_58_2f_c1_SD_B","pm10_0_atm",1,416,0.9965,0.73,-0.99,0
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_B","pm10_0_atm",1,133,0.993,0.84,-1.9,4.35e-143
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_B","pm10_0_atm",1,99,0.9899,0.94,0.41,1.27e-98
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_B","pm10_0_atm",1,122,0.9875,0.82,-1.5,3.82e-116
"2018-05-31 10:30","2018-05-31 13:45","60_1_94_58_2f_c1_SD_B","pm2_5_atm",1,133,0.9916,0.79,-1.8,8.41e-138
"2018-05-31 14:00","2018-05-31 17:30","60_1_94_58_2f_c1_SD_B","pm2_5_atm",1,122,0.9868,0.77,-1.7,1.2e-114
"2018-05-30 15:15","2018-05-30 19:15","60_1_94_58_2f_c1_SD_B","pm2_5_atm",1,99,0.9826,0.91,0.47,3.56e-87
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm1_0_atm",1,75,0.9897,0.77,0.51,2.84e-74
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm10_0_atm",1,94,0.9987,0.9,-0.18,1.88e-134
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_38_9d_SD_A","pm10_0_atm",1,244,0.9974,0.87,-1.1,9.97000002236197e-316
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_A","pm10_0_atm",1,149,0.9972,0.85,-0.75,8.47e-190
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_A","pm2_5_atm",1,94,0.9989,0.88,-0.31,1.38e-137
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_38_9d_SD_A","pm2_5_atm",1,244,0.9977,0.84,-1.2,1.31915527439613e-321
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_A","pm2_5_atm",1,149,0.997,0.77,-0.64,3.64e-187
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm1_0_atm",1,75,0.989,0.74,0.19,3.35e-73
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm10_0_atm",1,94,0.9989,0.9,-0.63,3.78e-137
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_38_9d_SD_B","pm10_0_atm",1,244,0.9973,0.87,-1.2,5.98000000001128e-313
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_B","pm10_0_atm",1,149,0.9938,0.81,-0.62,3.48e-164
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_38_9d_SD_B","pm2_5_atm",1,94,0.999,0.88,-0.63,1.05e-140
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_38_9d_SD_B","pm2_5_atm",1,244,0.9975,0.84,-1.3,1.12999977155758e-317
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_38_9d_SD_B","pm2_5_atm",1,149,0.9946,0.76,-0.73,2.14e-168
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm1_0_atm",1,104,0.9743,0.71,0.78,6.26e-83
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,265,0.9979,0.87,-0.78,0
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,134,0.9928,0.95,-1.8,2.06e-143
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,124,0.9914,0.93,-0.53,9.33e-128
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,179,0.9891,0.84,-0.82,9.13e-176
"2018-05-18 14:00","2018-05-18 19:45","60_1_94_58_9e_2d_SD_A","pm10_0_atm",1,111,0.9732,0.88,-0.56,1.73e-87
"2018-05-22 11:16","2018-05-22 17:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,265,0.998,0.84,-0.91,0
"2018-05-28 13:01","2018-05-28 18:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,134,0.9934,0.91,-2.1,7.95e-146
"2018-05-21 16:24","2018-05-21 19:45","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,124,0.9921,0.9,-0.52,3.85e-130
"2018-05-24 10:48","2018-05-24 16:00","60_1_94_58_9e_2d_SD_A","pm2_5_atm",1,179,0.9817,0.78,-0.73,8.25e-156
