sensor,pollutant,n_observation,r_squared,slope,intercept,p_value,n_trials
68_c6_3a_8e_59_21_SD_A,pm1_0_atm,90,0.9961,0.82,0,0,1
68_c6_3a_8e_59_21_SD_A,pm10_0_atm,185.2,0.995,0.9,-1,0,5
68_c6_3a_8e_59_21_SD_A,pm2_5_atm,127.5,0.9951,0.9,-1.06,0,4
68_c6_3a_8e_59_21_SD_B,pm10_0_atm,127,0.9546,0.81,1.1,0,1
68_c6_3a_8e_59_21_SD_B,pm2_5_atm,127,0.9544,0.78,0.95,0,1
68_c6_3a_8e_5b_a9_SD_A,pm1_0_atm,75,0.9898,0.76,0.45,0,1
68_c6_3a_8e_5b_a9_SD_A,pm10_0_atm,164.25,0.992,0.9,-0.47,0,4
68_c6_3a_8e_5b_a9_SD_A,pm2_5_atm,164.25,0.9938,0.86,-0.51,0,4
68_c6_3a_8e_5b_a9_SD_B,pm1_0_atm,75,0.9887,0.75,0.52,0,1
68_c6_3a_8e_5b_a9_SD_B,pm10_0_atm,164.25,0.9953,0.87,-0.46,0,4
68_c6_3a_8e_5b_a9_SD_B,pm2_5_atm,164.25,0.9956,0.84,-0.45,0,4
68_c6_3a_8e_5b_f0_SD_A,pm1_0_atm,128,0.9891,0.76,0.82,0,1
68_c6_3a_8e_5b_f0_SD_A,pm10_0_atm,183.6,0.9945,0.85,-0.7,0,5
68_c6_3a_8e_5b_f0_SD_A,pm2_5_atm,125.5,0.9916,0.84,-0.67,0,4
68_c6_3a_8e_5b_f0_SD_B,pm1_0_atm,128,0.9831,0.72,0.77,0,1
68_c6_3a_8e_5b_f0_SD_B,pm10_0_atm,183.6,0.9912,0.85,-0.69,0,5
68_c6_3a_8e_5b_f0_SD_B,pm2_5_atm,125.5,0.9912,0.83,-0.71,0,4
68_c6_3a_8e_a3_ca_SD_A,pm10_0_atm,174.25,0.9945,0.86,-0.73,0,4
68_c6_3a_8e_a3_ca_SD_A,pm2_5_atm,174.25,0.9932,0.8,-0.72,0,4
68_c6_3a_8e_a3_ca_SD_B,pm10_0_atm,174.25,0.9933,0.85,-0.9,0,4
68_c6_3a_8e_a3_ca_SD_B,pm2_5_atm,174.25,0.9944,0.82,-0.99,0,4
