Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_009
Test Start Time,12:20:05
Test Start Date,05/28/2018
Test Length [D:H:M],0:5:51
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.314
PM1 Minimum [mg/m3],0.000
PM1 Maximum [mg/m3],2.95
PM1 TWA [mg/m3],0.230
PM2.5 Average [mg/m3],0.315
PM2.5 Minimum [mg/m3],0.000
PM2.5 Maximum [mg/m3],2.95
PM2.5 TWA [mg/m3],0.231
PM4 Average [mg/m3],0.315
PM4 Minimum [mg/m3],0.000
PM4 Maximum [mg/m3],2.95
PM4 TWA [mg/m3],0.231
PM10 Average [mg/m3],0.315
PM10 Minimum [mg/m3],0.000
PM10 Maximum [mg/m3],2.95
PM10 TWA [mg/m3],0.231
TOTAL Average [mg/m3],0.315
TOTAL Minimum [mg/m3],0.000
TOTAL Maximum [mg/m3],2.95
TOTAL TWA [mg/m3],0.231
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,351

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.003,0.003,0.003,0.003,0.003,,
120,0.004,0.004,0.004,0.004,0.004,,
180,2.35,2.35,2.35,2.35,2.35,,
240,2.95,2.95,2.95,2.95,2.95,,
300,2.84,2.84,2.84,2.84,2.84,,
360,2.73,2.73,2.73,2.73,2.73,,
420,2.66,2.66,2.66,2.66,2.66,,
480,2.57,2.57,2.57,2.57,2.57,,
540,2.50,2.50,2.50,2.50,2.50,,
600,2.42,2.43,2.43,2.43,2.43,,
660,2.35,2.35,2.36,2.36,2.36,,
720,2.28,2.28,2.28,2.28,2.28,,
780,2.22,2.22,2.23,2.23,2.23,,
840,2.16,2.17,2.17,2.17,2.17,,
900,2.10,2.10,2.10,2.10,2.10,,
960,2.04,2.05,2.05,2.05,2.05,,
1020,1.98,1.98,1.98,1.98,1.98,,
1080,1.92,1.93,1.93,1.93,1.93,,
1140,1.87,1.88,1.88,1.88,1.88,,
1200,1.82,1.82,1.82,1.82,1.82,,
1260,1.77,1.77,1.77,1.77,1.77,,
1320,1.73,1.73,1.73,1.73,1.73,,
1380,1.67,1.67,1.67,1.67,1.67,,
1440,1.63,1.63,1.63,1.63,1.63,,
1500,1.59,1.59,1.59,1.59,1.59,,
1560,1.54,1.54,1.54,1.54,1.54,,
1620,1.50,1.50,1.50,1.50,1.50,,
1680,1.46,1.46,1.46,1.46,1.46,,
1740,1.42,1.42,1.42,1.42,1.42,,
1800,1.38,1.38,1.38,1.38,1.38,,
1860,1.34,1.34,1.34,1.34,1.34,,
1920,1.30,1.30,1.30,1.30,1.30,,
1980,1.26,1.27,1.27,1.27,1.27,,
2040,1.23,1.23,1.23,1.23,1.23,,
2100,1.20,1.20,1.20,1.20,1.20,,
2160,1.15,1.16,1.16,1.16,1.16,,
2220,1.12,1.13,1.13,1.13,1.13,,
2280,1.09,1.09,1.09,1.09,1.09,,
2340,1.06,1.06,1.06,1.06,1.06,,
2400,1.03,1.03,1.03,1.03,1.03,,
2460,1.00,1.00,1.00,1.00,1.00,,
2520,0.975,0.976,0.976,0.976,0.976,,
2580,0.947,0.948,0.948,0.948,0.948,,
2640,0.919,0.920,0.920,0.920,0.920,,
2700,0.895,0.896,0.896,0.896,0.896,,
2760,0.871,0.873,0.873,0.873,0.873,,
2820,0.841,0.842,0.842,0.842,0.842,,
2880,0.820,0.821,0.821,0.821,0.821,,
2940,0.798,0.800,0.800,0.800,0.800,,
3000,0.776,0.777,0.777,0.777,0.777,,
3060,0.752,0.753,0.753,0.753,0.753,,
3120,0.732,0.733,0.733,0.733,0.733,,
3180,0.712,0.713,0.713,0.713,0.713,,
3240,0.692,0.693,0.693,0.693,0.693,,
3300,0.676,0.677,0.677,0.677,0.677,,
3360,0.654,0.655,0.655,0.655,0.655,,
3420,0.637,0.638,0.638,0.638,0.638,,
3480,0.622,0.623,0.623,0.623,0.623,,
3540,0.606,0.607,0.607,0.607,0.607,,
3600,0.591,0.592,0.592,0.592,0.592,,
3660,0.574,0.575,0.575,0.575,0.575,,
3720,0.558,0.559,0.559,0.559,0.559,,
3780,0.544,0.545,0.545,0.545,0.545,,
3840,0.529,0.531,0.531,0.531,0.531,,
3900,0.519,0.520,0.520,0.520,0.520,,
3960,0.505,0.506,0.506,0.506,0.506,,
4020,0.497,0.498,0.499,0.499,0.499,,
4080,0.482,0.483,0.483,0.483,0.483,,
4140,0.470,0.471,0.471,0.471,0.471,,
4200,0.458,0.459,0.459,0.459,0.459,,
4260,0.447,0.448,0.448,0.448,0.448,,
4320,0.432,0.434,0.434,0.434,0.434,,
4380,0.424,0.425,0.425,0.425,0.425,,
4440,0.414,0.415,0.415,0.415,0.415,,
4500,0.404,0.405,0.405,0.405,0.405,,
4560,0.395,0.397,0.397,0.397,0.397,,
4620,0.385,0.386,0.386,0.386,0.386,,
4680,0.378,0.379,0.379,0.379,0.379,,
4740,0.369,0.370,0.370,0.370,0.370,,
4800,0.359,0.360,0.360,0.360,0.360,,
4860,0.350,0.352,0.352,0.352,0.352,,
4920,0.343,0.344,0.344,0.344,0.344,,
4980,0.337,0.339,0.339,0.339,0.339,,
5040,0.330,0.331,0.331,0.331,0.331,,
5100,0.320,0.321,0.321,0.321,0.321,,
5160,0.312,0.314,0.314,0.314,0.314,,
5220,0.304,0.305,0.305,0.305,0.305,,
5280,0.299,0.300,0.300,0.300,0.300,,
5340,0.288,0.290,0.290,0.290,0.290,,
5400,0.284,0.286,0.286,0.286,0.286,,
5460,0.278,0.279,0.279,0.279,0.279,,
5520,0.271,0.272,0.272,0.272,0.272,,
