Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_003
Test Start Time,15:41:38
Test Start Date,05/18/2018
Test Length [D:H:M],0:5:15
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.241
PM1 Minimum [mg/m3],0.000
PM1 Maximum [mg/m3],3.11
PM1 TWA [mg/m3],0.158
PM2.5 Average [mg/m3],0.243
PM2.5 Minimum [mg/m3],0.000
PM2.5 Maximum [mg/m3],3.12
PM2.5 TWA [mg/m3],0.160
PM4 Average [mg/m3],0.244
PM4 Minimum [mg/m3],0.000
PM4 Maximum [mg/m3],3.13
PM4 TWA [mg/m3],0.160
PM10 Average [mg/m3],0.244
PM10 Minimum [mg/m3],0.000
PM10 Maximum [mg/m3],3.13
PM10 TWA [mg/m3],0.160
TOTAL Average [mg/m3],0.244
TOTAL Minimum [mg/m3],0.000
TOTAL Maximum [mg/m3],3.13
TOTAL TWA [mg/m3],0.160
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,315

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.000,0.000,0.000,0.000,0.000,,
120,0.000,0.000,0.000,0.000,0.000,,
180,0.000,0.000,0.000,0.000,0.000,,
240,0.000,0.000,0.000,0.000,0.000,,
300,0.000,0.000,0.000,0.000,0.000,,
360,0.000,0.000,0.000,0.000,0.000,,
420,0.002,0.002,0.002,0.002,0.002,,
480,0.007,0.008,0.008,0.008,0.008,,
540,0.008,0.008,0.008,0.008,0.008,,
600,0.008,0.008,0.008,0.008,0.008,,
660,0.008,0.008,0.008,0.008,0.008,,
720,0.010,0.010,0.010,0.010,0.010,,
780,0.009,0.009,0.009,0.009,0.009,,
840,0.009,0.009,0.009,0.009,0.009,,
900,0.009,0.009,0.009,0.009,0.009,,
960,0.009,0.010,0.010,0.010,0.010,,
1020,0.010,0.010,0.010,0.010,0.010,,
1080,0.008,0.008,0.008,0.008,0.008,,
1140,0.008,0.008,0.008,0.008,0.008,,
1200,0.008,0.008,0.008,0.008,0.008,,
1260,0.007,0.007,0.007,0.007,0.007,,
1320,0.007,0.007,0.007,0.007,0.007,,
1380,0.006,0.006,0.006,0.006,0.006,,
1440,0.006,0.006,0.006,0.006,0.006,,
1500,0.006,0.006,0.006,0.006,0.006,,
1560,0.006,0.006,0.006,0.006,0.006,,
1620,0.005,0.005,0.005,0.005,0.005,,
1680,0.005,0.005,0.005,0.005,0.005,,
1740,0.005,0.005,0.005,0.005,0.005,,
1800,0.005,0.005,0.005,0.005,0.005,,
1860,0.005,0.005,0.005,0.005,0.005,,
1920,0.005,0.005,0.005,0.005,0.005,,
1980,0.005,0.005,0.005,0.005,0.005,,
