Instrument Name,DustTrak DRX
Model Number,8533
Serial Number,8533103404
Firmware Version,3.0
Calibration Date,03/12/2014
Test Name,MANUAL_014
Test Start Time,13:28:02
Test Start Date,06/03/2018
Test Length [D:H:M],1:1:57
Test Interval [M:S],1:0
PM1 Average [mg/m3],0.027
PM1 Minimum [mg/m3],0.000
PM1 Maximum [mg/m3],1.07
PM1 TWA [mg/m3],0.055
PM2.5 Average [mg/m3],0.027
PM2.5 Minimum [mg/m3],0.000
PM2.5 Maximum [mg/m3],1.07
PM2.5 TWA [mg/m3],0.056
PM4 Average [mg/m3],0.027
PM4 Minimum [mg/m3],0.000
PM4 Maximum [mg/m3],1.07
PM4 TWA [mg/m3],0.056
PM10 Average [mg/m3],0.027
PM10 Minimum [mg/m3],0.000
PM10 Maximum [mg/m3],1.07
PM10 TWA [mg/m3],0.056
TOTAL Average [mg/m3],0.027
TOTAL Minimum [mg/m3],0.000
TOTAL Maximum [mg/m3],1.07
TOTAL TWA [mg/m3],0.056
Photometric User Cal,1.00
Size Correction User Cal,1.00
Flow User Cal,0.00
Errors,
Number of Samples,1557

Elapsed Time [s],PM1 [mg/m3],PM2.5 [mg/m3],PM4 [mg/m3],PM10 [mg/m3],TOTAL [mg/m3],Alarms,Errors
60,0.006,0.006,0.006,0.006,0.006,,
120,0.005,0.005,0.005,0.005,0.005,,
180,0.005,0.005,0.005,0.005,0.005,,
240,0.862,0.870,0.874,0.876,0.876,,
300,1.06,1.07,1.07,1.07,1.07,,
360,0.680,0.684,0.686,0.686,0.686,,
420,0.422,0.425,0.426,0.426,0.426,,
480,0.265,0.266,0.267,0.267,0.267,,
540,0.214,0.216,0.216,0.217,0.217,,
600,0.198,0.199,0.200,0.200,0.200,,
660,0.205,0.207,0.208,0.208,0.208,,
720,0.215,0.218,0.218,0.218,0.218,,
780,0.223,0.226,0.226,0.226,0.226,,
840,0.225,0.228,0.228,0.228,0.228,,
900,0.224,0.227,0.227,0.227,0.227,,
960,0.226,0.229,0.229,0.230,0.230,,
1020,0.224,0.227,0.227,0.227,0.227,,
1080,0.224,0.227,0.227,0.227,0.227,,
1140,0.219,0.223,0.223,0.223,0.223,,
1200,0.216,0.219,0.219,0.219,0.219,,
1260,0.212,0.216,0.216,0.216,0.216,,
1320,0.210,0.213,0.213,0.213,0.213,,
1380,0.204,0.207,0.207,0.207,0.207,,
1440,0.203,0.206,0.206,0.206,0.206,,
1500,0.199,0.202,0.202,0.202,0.202,,
1560,0.195,0.198,0.198,0.198,0.198,,
